               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                  79            0.043241            0.041014           0.0068192             0.90501             0.81267             0.91088             0.60334            0.036242            0.024129           0.0036796           0.0063019           0.0063019            0.042402
                  80            0.038169            0.039724           0.0072975             0.89353             0.83592             0.91445             0.62247            0.035247            0.023906           0.0036964           0.0063785           0.0063785            0.041679
                  81             0.04119            0.043283           0.0070879             0.89622             0.83965             0.91033             0.61773            0.036249            0.024044           0.0036833           0.0064551           0.0064551            0.040955
                  82            0.039529            0.044127           0.0072278             0.90562             0.84268             0.91399             0.64038            0.033508            0.023691           0.0035897           0.0065315           0.0065315            0.040232
                  83            0.036984            0.043771           0.0065396             0.88023             0.82506             0.90038             0.60141            0.036805            0.023687            0.003471           0.0066079           0.0066079            0.039508
                  84            0.041592            0.042809           0.0070802             0.88642             0.84783             0.90685             0.60288            0.036943            0.024014           0.0035091           0.0066842           0.0066842            0.038784
                  85            0.040763            0.043291             0.00624             0.87639             0.83946             0.89655             0.59884            0.037093            0.023836           0.0035723           0.0067604           0.0067604             0.03806
                  86            0.038608            0.041756           0.0066962             0.91863             0.84479             0.91868             0.63278            0.033325            0.023285           0.0035423           0.0068365           0.0068365            0.037337
                  87            0.039822            0.050166           0.0069758             0.92439             0.82386             0.91611             0.62026             0.03546            0.023739           0.0036423           0.0069126           0.0069126            0.036613
                  88            0.043293            0.047143           0.0072884              0.9197             0.83107              0.9154             0.61341             0.03614            0.023606           0.0037188           0.0069885           0.0069885            0.035889
                  89            0.040566            0.046836           0.0069208             0.90703             0.85065              0.9188             0.61135            0.033769            0.023614           0.0037312           0.0070644           0.0070644            0.035164
                  90            0.040371            0.042989            0.007078             0.91347             0.84387             0.91811             0.64206            0.033288            0.023245           0.0035532           0.0071401           0.0071401             0.03444
                  91            0.040202            0.044946            0.007288             0.91371             0.84827             0.91641             0.62981             0.03418            0.023082           0.0035437           0.0072158           0.0072158            0.033716
                  92            0.040026            0.044037           0.0067369             0.89298             0.84281             0.91167               0.632            0.034627            0.023343           0.0036199           0.0072913           0.0072913            0.032991
                  93            0.041125            0.044191           0.0066844             0.91578             0.83904             0.91833             0.62685            0.035058            0.023769           0.0036968           0.0073668           0.0073668            0.032267
                  94            0.041266            0.040186           0.0069408             0.88163             0.86317             0.91652             0.63887            0.034985            0.023442           0.0037814           0.0074422           0.0074422            0.031542
                  95            0.037537            0.039059           0.0073282             0.86544             0.85472             0.91283             0.64242            0.033157            0.023686           0.0038153           0.0075174           0.0075174            0.030817
                  96            0.036666            0.041833           0.0071445             0.84428             0.84557             0.88702             0.60884             0.03434            0.025344           0.0040672           0.0075926           0.0075926            0.030093
                  97            0.039193            0.042793           0.0066289             0.86823             0.84622             0.90712              0.6124            0.034999            0.024225            0.003671           0.0076677           0.0076677            0.029368
                  98            0.038956            0.041799           0.0066836             0.89754              0.8458             0.91904             0.62801            0.033713            0.024032           0.0035486           0.0077426           0.0077426            0.028643
                  99            0.039216            0.043722           0.0063483             0.89213             0.85049             0.91316             0.64016            0.034197            0.023833           0.0035149           0.0078175           0.0078175            0.027917
                 100            0.041575            0.045748           0.0070168             0.83772             0.88673              0.9156             0.62808            0.035344            0.024365           0.0035807           0.0078923           0.0078923            0.027192
                 101            0.039462            0.037985           0.0064674             0.82577             0.89187             0.91201             0.58843             0.03599              0.0244            0.003602           0.0079669           0.0079669            0.026467
                 102            0.039988            0.043072           0.0075528             0.83215             0.89016             0.92039             0.60584            0.037572            0.024328           0.0036736           0.0080415           0.0080415            0.025741
                 103            0.042149            0.042221            0.006914             0.89376             0.86499             0.92795             0.60807            0.036066            0.024066           0.0038217           0.0081159           0.0081159            0.025016
                 104            0.040274            0.044065           0.0071657             0.90501              0.8616             0.92022             0.63104            0.033817            0.023825           0.0038439           0.0081903           0.0081903             0.02429
                 105            0.037373            0.044912           0.0075458             0.91094             0.86337              0.9337              0.6361            0.033519            0.024021           0.0038353           0.0082645           0.0082645            0.023565
                 106            0.039705            0.041473           0.0068465             0.89668             0.84701             0.92581             0.60725            0.037435            0.024423           0.0037137           0.0083386           0.0083386            0.022839
                 107            0.039394            0.048847           0.0066591             0.81904             0.86024             0.90488             0.61997            0.034875            0.024039            0.003602           0.0084126           0.0084126            0.022113
                 108            0.038532            0.046558           0.0070255             0.89769             0.85119             0.91065             0.62726            0.034218            0.025328           0.0037523           0.0084866           0.0084866            0.021387
                 109             0.03913            0.042417           0.0070834             0.85366                0.86             0.90999             0.63741            0.034545            0.024384           0.0036289           0.0085603           0.0085603             0.02066
                 110            0.038919            0.047053           0.0066861             0.89135             0.85171             0.92057             0.64636            0.034033            0.024512            0.003615            0.008634            0.008634            0.019934
                 111            0.036651            0.041131           0.0065689             0.89422             0.83073             0.91321             0.64255            0.034233            0.024858           0.0038821           0.0087076           0.0087076            0.019208
                 112            0.039799            0.042116           0.0069029             0.89854             0.80718             0.90996              0.6201            0.035339             0.02427           0.0040008            0.008781            0.008781            0.018481
