               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                  96            0.035734            0.041033           0.0070999             0.85647             0.88812             0.91802             0.65063            0.032464            0.023222           0.0035792           0.0061312           0.0061312            0.028631
                  97            0.038782             0.04189           0.0062457             0.92768             0.82266              0.9044             0.60721            0.034609            0.023416           0.0035574           0.0061632           0.0061632            0.027863
                  98            0.038117            0.040787           0.0063359             0.85233             0.86954             0.91493             0.64425            0.032893            0.023627           0.0035609           0.0061944           0.0061944            0.027094
                  99            0.037813            0.043372           0.0059691             0.88199             0.86208             0.91894             0.65293            0.032638            0.022869           0.0034018           0.0062248           0.0062248            0.026325
                 100            0.038134             0.04413           0.0066877             0.83718             0.89728             0.91486             0.64676            0.032627            0.023132           0.0034242           0.0062542           0.0062542            0.025554
                 101            0.037643            0.037233           0.0062448             0.84687              0.8783             0.91489             0.61978             0.03397             0.02366           0.0033796           0.0062829           0.0062829            0.024783
                 102             0.03967            0.042659           0.0070328             0.83258             0.87682             0.90859             0.63704            0.033699            0.023578           0.0034382           0.0063107           0.0063107            0.024011
                 103            0.041385            0.041154           0.0064257             0.90785             0.82842             0.91672             0.62306            0.033994            0.023963           0.0036566           0.0063376           0.0063376            0.023238
                 104            0.039018            0.043444           0.0068519             0.91315             0.84412             0.92223             0.65362            0.032958              0.0232            0.003588           0.0063637           0.0063637            0.022464
                 105            0.036651            0.044691           0.0074006             0.89935             0.85907             0.92037             0.65043            0.032171            0.022864           0.0036045           0.0063889           0.0063889            0.021689
                 106            0.037786            0.040223           0.0068267             0.90832             0.84704              0.9215             0.62438            0.035762            0.023078           0.0035661           0.0064132           0.0064132            0.020913
                 107            0.037559             0.04737           0.0063639             0.91716             0.85329             0.92293             0.65022            0.033078            0.022871           0.0034965           0.0064367           0.0064367            0.020137
                 108            0.036756             0.04442            0.006935             0.90389             0.86788             0.92583             0.67431            0.032403            0.022808           0.0034488           0.0064593           0.0064593            0.019359
                 109            0.037545            0.041034            0.006894             0.90945             0.86106             0.92745             0.63033            0.033713            0.023162           0.0033971           0.0064811           0.0064811            0.018581
                 110            0.037876            0.045691           0.0063964             0.88373             0.86759             0.93028             0.65059            0.033459             0.02332           0.0033459            0.006502            0.006502            0.017802
                 111            0.036853            0.039558           0.0060555             0.87578             0.82615             0.91097             0.61726            0.036768             0.02369           0.0033642            0.006522            0.006522            0.017022
                 112            0.039306               0.041           0.0061968             0.89513             0.87218             0.93368             0.66003            0.033354            0.023486           0.0033849           0.0065412           0.0065412            0.016241
                 113            0.035976            0.041722           0.0056826             0.87131             0.88799             0.92831             0.65882            0.031736            0.022526           0.0033806           0.0065595           0.0065595            0.015459
                 114             0.03817            0.040248           0.0066355             0.88103             0.86154              0.9175             0.62671            0.034134            0.022533            0.003309           0.0065769           0.0065769            0.014677
                 115            0.037583            0.041114           0.0066993             0.86971             0.87298             0.92495              0.6366            0.034153            0.022529           0.0032738           0.0065934           0.0065934            0.013893
                 116            0.039553            0.039869           0.0062161             0.88001             0.86216             0.91735             0.62815            0.035037            0.022751             0.00329           0.0066091           0.0066091            0.013109
                 117             0.03711            0.040423           0.0056886             0.88625             0.87154             0.92163              0.6591            0.031561            0.022472           0.0034374           0.0066239           0.0066239            0.012324
                 118            0.036731            0.037963           0.0070157             0.82682             0.86081             0.91044             0.61576            0.035042            0.024384           0.0037325           0.0066379           0.0066379            0.011538
                 119            0.040219            0.046992            0.006334             0.81668             0.89425             0.91349             0.62577            0.034103            0.023585           0.0035227            0.006651            0.006651            0.010751
                 120            0.039483            0.047985           0.0067686             0.85995             0.88234             0.92493             0.61355            0.036948            0.023298           0.0034224           0.0066632           0.0066632           0.0099632
                 121            0.039256            0.038387           0.0061444              0.8863             0.82886             0.91622             0.63806            0.034893            0.022881           0.0033202           0.0066745           0.0066745           0.0091745
                 122            0.038046            0.040588           0.0063273             0.92535             0.82502             0.91776             0.65567            0.033016            0.022892           0.0033053            0.006685            0.006685            0.008385
                 123            0.037229            0.039908           0.0060968             0.87797             0.85176             0.92104             0.64489            0.033903            0.023031           0.0033578           0.0066947           0.0066947           0.0075947
                 124            0.036584            0.040691            0.006411             0.82757             0.88959             0.92603             0.66379            0.031633            0.022576            0.003431           0.0067034           0.0067034           0.0068034
                 125            0.039275            0.044163           0.0068748             0.89516             0.84937             0.92229             0.66009            0.032087            0.022848           0.0034643           0.0066647           0.0066647           0.0066647
                 126            0.035478            0.041491           0.0062741             0.87657              0.8693             0.92905             0.67346            0.031276            0.022708           0.0035421           0.0066647           0.0066647           0.0066647
                 127            0.035928            0.037943           0.0062581             0.89704             0.86451             0.92928             0.65437            0.031742            0.022947           0.0035024           0.0066191           0.0066191           0.0066191
                 128            0.038645            0.042595           0.0068266             0.87908             0.86801              0.9275             0.64088            0.032392             0.02268           0.0033806           0.0065734           0.0065734           0.0065734
                 129            0.038147             0.04046           0.0065876             0.87938             0.86579             0.92424             0.62541            0.032662            0.022614           0.0033229           0.0065276           0.0065276           0.0065276
                 130            0.037572             0.04454           0.0064093             0.90239               0.872             0.93358             0.65743            0.031562            0.022355           0.0032445           0.0064816           0.0064816           0.0064816
                 131            0.038972            0.042582           0.0066627             0.92355             0.87184             0.93578             0.65377            0.032741            0.022771           0.0032172           0.0064356           0.0064356           0.0064356
                 132             0.03823             0.04003            0.006322             0.88602             0.88153             0.93116             0.66257            0.033857            0.022638           0.0031728           0.0063895           0.0063895           0.0063895
                 133            0.037113            0.043988           0.0067438             0.89438             0.85617             0.92554             0.64705            0.034123            0.022633            0.003163           0.0063432           0.0063432           0.0063432
                 134            0.037081            0.041908           0.0059421              0.8597             0.92151             0.94196             0.67813             0.03201            0.022132           0.0031821           0.0062969           0.0062969           0.0062969
                 135             0.03687            0.040779           0.0061712             0.85139             0.91593             0.94191             0.65471            0.032174            0.022135           0.0032489           0.0062505           0.0062505           0.0062505
                 136            0.036268            0.040059           0.0066069             0.89394             0.89332             0.94117             0.68105            0.030811            0.021689           0.0032882            0.006204            0.006204            0.006204
                 137            0.036257            0.039437           0.0063716             0.91182             0.88542             0.94091             0.66502            0.031155            0.021464           0.0032823           0.0061574           0.0061574           0.0061574
                 138            0.035358            0.039358           0.0059854             0.91552             0.88343             0.94576             0.66401            0.031411             0.02148            0.003248           0.0061107           0.0061107           0.0061107
                 139            0.035169            0.038643           0.0064245             0.85476             0.91503             0.94169             0.67377            0.030475            0.021582           0.0032738            0.006064            0.006064            0.006064
                 140             0.03557            0.040252           0.0072685             0.90155             0.90597             0.95125             0.68822            0.030682            0.021719           0.0032808           0.0060172           0.0060172           0.0060172
                 141            0.037861            0.038961           0.0066556             0.91798              0.9024             0.95104             0.68147             0.03107            0.021675           0.0032624           0.0059704           0.0059704           0.0059704
                 142            0.035086            0.042113           0.0057929             0.91866             0.90433             0.94953             0.68236            0.031221            0.021575           0.0032666           0.0059235           0.0059235           0.0059235
                 143            0.037025            0.036856            0.006923             0.92295              0.8827             0.94285              0.6813            0.030518            0.021627           0.0032401           0.0058766           0.0058766           0.0058766
                 144            0.036456             0.03985           0.0064728             0.94065             0.88051             0.94838             0.67237             0.03025            0.021735           0.0033158           0.0058296           0.0058296           0.0058296
                 145            0.035562            0.039806           0.0059099             0.92694             0.87274             0.94148             0.66994            0.031125            0.021884           0.0033519           0.0057826           0.0057826           0.0057826
                 146            0.037057             0.04011           0.0058578             0.87584              0.9079             0.94498             0.64623            0.034581            0.022669           0.0030448           0.0057355           0.0057355           0.0057355
                 147            0.037462            0.039713           0.0061103             0.89902             0.87995             0.93354             0.66898            0.031951            0.022337           0.0030407           0.0056884           0.0056884           0.0056884
                 148            0.036615            0.041303           0.0065926             0.92775             0.85252             0.93442             0.66914            0.030866            0.022977           0.0031421           0.0056413           0.0056413           0.0056413
                 149            0.035348            0.042703           0.0059083             0.93352              0.8504             0.93997             0.67217             0.03125            0.021943            0.003158           0.0055942           0.0055942           0.0055942
                 150            0.037484            0.039404           0.0058849             0.92133             0.86474             0.94299             0.65731            0.032613            0.021694           0.0031764           0.0055471           0.0055471           0.0055471
                 151            0.035294            0.040648           0.0057272             0.89998             0.89963             0.95124             0.70463            0.029013            0.021071           0.0031027              0.0055              0.0055              0.0055
                 152            0.032041            0.037247           0.0055049             0.90261             0.90196               0.953             0.70383            0.028898             0.02083           0.0030492           0.0054529           0.0054529           0.0054529
                 153            0.034066            0.041496           0.0057561             0.90314             0.89063             0.94929             0.67564             0.03137            0.021114           0.0030068           0.0054058           0.0054058           0.0054058
                 154            0.036116            0.041046           0.0066853              0.9326             0.88874             0.94434             0.69558            0.028745            0.020734           0.0030126           0.0053587           0.0053587           0.0053587
                 155            0.034423            0.040365             0.00577             0.88145             0.90295             0.94349             0.69753            0.029667            0.020755            0.003041           0.0053116           0.0053116           0.0053116
                 156            0.033048            0.039291           0.0049558             0.92189             0.90107             0.95174             0.70021            0.029086            0.020598           0.0030132           0.0052645           0.0052645           0.0052645
                 157            0.034786            0.037628           0.0061192             0.91236             0.90134             0.94876             0.66881            0.031296            0.020912           0.0029316           0.0052174           0.0052174           0.0052174
                 158            0.035552            0.039079           0.0052142             0.91084             0.90647             0.95488             0.69153            0.029645            0.020924           0.0028793           0.0051704           0.0051704           0.0051704
